Название,Артикул,Текущая_цена,История_цен
/ Джинсы багги широкие бойфренды,337372659,3 585 ₽,"[{""dt"": 1742083200, ""price"": {""RUB"": 418731}}, {""dt"": 1742688000, ""price"": {""RUB"": 367280}}, {""dt"": 1743292800, ""price"": {""RUB"": 361632}}, {""dt"": 1743897600, ""price"": {""RUB"": 356202}}, {""dt"": 1744502400, ""price"": {""RUB"": 349890}}, {""dt"": 1745107200, ""price"": {""RUB"": 354878}}]"
/ Футболка Премиум однотонная демисезон,239615941,1 016 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 108318}}, {""dt"": 1739059200, ""price"": {""RUB"": 104556}}, {""dt"": 1739664000, ""price"": {""RUB"": 102030}}, {""dt"": 1740268800, ""price"": {""RUB"": 108196}}, {""dt"": 1740873600, ""price"": {""RUB"": 117967}}, {""dt"": 1741478400, ""price"": {""RUB"": 120538}}, {""dt"": 1742083200, ""price"": {""RUB"": 119930}}, {""dt"": 1742688000, ""price"": {""RUB"": 113925}}, {""dt"": 1743292800, ""price"": {""RUB"": 102938}}, {""dt"": 1743897600, ""price"": {""RUB"": 103393}}, {""dt"": 1744502400, ""price"": {""RUB"": 114891}}, {""dt"": 1745107200, ""price"": {""RUB"": 112577}}]"
/ Льняная рубашка оверсайз подростковая с капюшоном,296832458,1 469 ₽,"[{""dt"": 1742688000, ""price"": {""RUB"": 232250}}, {""dt"": 1743292800, ""price"": {""RUB"": 231200}}, {""dt"": 1743897600, ""price"": {""RUB"": 210850}}, {""dt"": 1744502400, ""price"": {""RUB"": 208967}}, {""dt"": 1745107200, ""price"": {""RUB"": 178746}}]"
/ Лонгслив хлопковый,175142976,502 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 60700}}, {""dt"": 1739059200, ""price"": {""RUB"": 58633}}, {""dt"": 1739664000, ""price"": {""RUB"": 56950}}, {""dt"": 1740268800, ""price"": {""RUB"": 55000}}, {""dt"": 1740873600, ""price"": {""RUB"": 55300}}, {""dt"": 1742083200, ""price"": {""RUB"": 55133}}, {""dt"": 1742688000, ""price"": {""RUB"": 49500}}, {""dt"": 1743292800, ""price"": {""RUB"": 42150}}, {""dt"": 1743897600, ""price"": {""RUB"": 44100}}, {""dt"": 1744502400, ""price"": {""RUB"": 55100}}, {""dt"": 1745107200, ""price"": {""RUB"": 56425}}]"
/ Костюм с шортами детский летний муслин,363457687,1 927 ₽,"[{""dt"": 1744502400, ""price"": {""RUB"": 194500}}, {""dt"": 1745107200, ""price"": {""RUB"": 194225}}]"
/ Джинсы джеггинсы скинни с высокой посадкой,314294759,1 524 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 169189}}, {""dt"": 1741478400, ""price"": {""RUB"": 166905}}, {""dt"": 1742083200, ""price"": {""RUB"": 166163}}, {""dt"": 1742688000, ""price"": {""RUB"": 168414}}, {""dt"": 1743292800, ""price"": {""RUB"": 166357}}, {""dt"": 1743897600, ""price"": {""RUB"": 158528}}, {""dt"": 1744502400, ""price"": {""RUB"": 155699}}, {""dt"": 1745107200, ""price"": {""RUB"": 156056}}]"
/ Костюм трикотажный шорты с футболкой,155189814,1 549 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 175790}}, {""dt"": 1739059200, ""price"": {""RUB"": 169264}}, {""dt"": 1739664000, ""price"": {""RUB"": 162457}}, {""dt"": 1740268800, ""price"": {""RUB"": 163746}}, {""dt"": 1740873600, ""price"": {""RUB"": 161605}}, {""dt"": 1741478400, ""price"": {""RUB"": 160943}}, {""dt"": 1742083200, ""price"": {""RUB"": 149830}}, {""dt"": 1742688000, ""price"": {""RUB"": 147985}}, {""dt"": 1743292800, ""price"": {""RUB"": 150604}}, {""dt"": 1743897600, ""price"": {""RUB"": 153586}}, {""dt"": 1744502400, ""price"": {""RUB"": 154272}}, {""dt"": 1745107200, ""price"": {""RUB"": 153631}}]"
/ Велосипедки,159196166,258 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 34227}}, {""dt"": 1739059200, ""price"": {""RUB"": 33939}}, {""dt"": 1739664000, ""price"": {""RUB"": 33457}}, {""dt"": 1740268800, ""price"": {""RUB"": 33660}}, {""dt"": 1740873600, ""price"": {""RUB"": 34754}}, {""dt"": 1741478400, ""price"": {""RUB"": 32218}}, {""dt"": 1742083200, ""price"": {""RUB"": 26928}}, {""dt"": 1742688000, ""price"": {""RUB"": 26431}}, {""dt"": 1743292800, ""price"": {""RUB"": 26513}}, {""dt"": 1743897600, ""price"": {""RUB"": 26399}}, {""dt"": 1744502400, ""price"": {""RUB"": 26205}}, {""dt"": 1745107200, ""price"": {""RUB"": 25842}}]"
/ Костюм летний детский футболка шорты в садик,212106873,1 317 ₽,"[{""dt"": 1739664000, ""price"": {""RUB"": 168833}}, {""dt"": 1740268800, ""price"": {""RUB"": 151007}}, {""dt"": 1740873600, ""price"": {""RUB"": 151933}}, {""dt"": 1741478400, ""price"": {""RUB"": 150711}}, {""dt"": 1742083200, ""price"": {""RUB"": 155233}}, {""dt"": 1742688000, ""price"": {""RUB"": 153086}}, {""dt"": 1743292800, ""price"": {""RUB"": 150738}}, {""dt"": 1743897600, ""price"": {""RUB"": 148795}}, {""dt"": 1744502400, ""price"": {""RUB"": 134215}}, {""dt"": 1745107200, ""price"": {""RUB"": 130500}}]"
/ Платье летнее леопардовое большие размеры,167573167,1 434 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 94500}}, {""dt"": 1739059200, ""price"": {""RUB"": 78200}}, {""dt"": 1739664000, ""price"": {""RUB"": 126924}}, {""dt"": 1740268800, ""price"": {""RUB"": 149109}}, {""dt"": 1740873600, ""price"": {""RUB"": 150600}}, {""dt"": 1741478400, ""price"": {""RUB"": 142838}}, {""dt"": 1742083200, ""price"": {""RUB"": 148011}}, {""dt"": 1742688000, ""price"": {""RUB"": 139695}}, {""dt"": 1743292800, ""price"": {""RUB"": 137975}}, {""dt"": 1743897600, ""price"": {""RUB"": 137146}}, {""dt"": 1744502400, ""price"": {""RUB"": 136966}}, {""dt"": 1745107200, ""price"": {""RUB"": 134253}}]"
